"","x","y","BEN","CH4","H2S","TOL","VOC","XYM","XYP"
"123",-90.00703,35.06668,0,0,0,0,0,0,0
"124",-90.007035,35.066515,0,0,0,0,0,0,0
"125",-90.007045,35.06632,0,0,0,0,0,0,0
"126",-90.00705,35.066185,0,0,26.447,0,0,0,0
"127",-90.00705,35.06608,0,0,26.447,0,0,0,0
"128",-90.007055,35.065945,0,0,26.447,0,0,0,0
"129",-90.00706,35.065845,0,0,0,0,0,0,0
"130",-90.007065,35.065705,0,0,0,0,0,0,0
"131",-90.00707,35.0655,0,0,0,0,0,0,0
"132",-90.007075,35.06533,0,0,0,0,0,0,0
"133",-90.00708,35.065195,0,0,0,0,0,0,0
"134",-90.007085,35.06506,0,0,0,0,0,0,0
"135",-90.00709,35.06496,0,0,0,0,0,0,0
"136",-90.00709,35.064865,0,0,0,0,0,0,0
"137",-90.007095,35.064705,0,0,0,0,0,0,0
"138",-90.0071,35.064545,0,0,0,0,0,0,0
"139",-90.0071,35.064415,0,0,0,0,0,0,0
"140",-90.007105,35.06429,0,0,0,0,0,0,0
"141",-90.00711,35.064165,0,0,0,0,0,0,0
"142",-90.007115,35.06404,0,0,0,0,0,0,0
"143",-90.00712,35.06392,0,0,0,0,0,0,0
"144",-90.00712,35.06383,0,0,0,0,0,0,0
"145",-90.007125,35.06374,0,0,0,0,0,0,0
"146",-90.00714,35.06356,0,0,0,0,0,0,0
"147",-90.00715,35.06341,0,0,0,0,519.660785714286,0,0
"148",-90.00716,35.063325,0,0,0,0,519.660785714286,0,0
"149",-90.00719,35.063185,0,0,0,0,519.660785714286,0,0
"150",-90.007215,35.06307,0,0,0,0,519.660785714286,0,0
"151",-90.007235,35.062985,0,0,0,0,519.660785714286,0,0
"152",-90.00726,35.06287,0,0,0,0,519.660785714286,0,0
"153",-90.007285,35.062755,0,0,0,0,519.660785714286,0,0
"154",-90.00731,35.06261,0,0,0,241.3816,519.660785714286,0,0
"155",-90.00732,35.062485,0,0,0,241.3816,519.660785714286,0,0
"156",-90.007325,35.06242,0,0,0,241.3816,519.660785714286,0,0
"157",-90.00733,35.0623,0,0,0,241.3816,519.660785714286,0,0
"158",-90.007335,35.06212,0,0,0,241.3816,519.660785714286,0,13.0081428571429
"159",-90.00734,35.062005,0,0,0,241.3816,519.660785714286,0,13.0081428571429
"160",-90.00734,35.06192,0,0,0,241.3816,519.660785714286,0,13.0081428571429
"161",-90.00734,35.061805,0,0,0,241.3816,0,0,13.0081428571429
"162",-90.007345,35.0617,0,0,0,241.3816,0,0,13.0081428571429
"163",-90.00735,35.061605,0,0,0,241.3816,0,0,13.0081428571429
"164",-90.00735,35.061515,0,0,0,0,0,0,13.0081428571429
"165",-90.007355,35.061455,6.58471428571429,0,0,0,0,0,0
"166",-90.007365,35.061385,6.58471428571429,0,0,0,0,0,0
"167",-90.007395,35.061285,6.58471428571429,0,0,0,0,0,0
"168",-90.007435,35.06123,6.58471428571429,0,0,0,0,0,0
"169",-90.00748,35.0612,6.58471428571429,0,0,0,0,0,0
"170",-90.007565,35.06116,6.58471428571429,0,0,0,0,0,0
"171",-90.007645,35.061140098,6.58471428571429,0,0,0,0,0,0
"172",-90.007715,35.061135,0,0,0,0,0,0,0
"173",-90.00781,35.061130098,0,0,0,0,0,0,0
"174",-90.007885,35.061135,0,0,0,0,0,0,0
"175",-90.008,35.061140098,0,0,0,0,0,0,0
"176",-90.00818,35.061145,0,0,0,0,0,0,0
"177",-90.008305,35.061150098,0,0,0,0,0,0,0
"178",-90.00841,35.061150098,0,0,0,0,0,0,0
"179",-90.00858,35.061155,9.034,0,0,0,0,0,0
"180",-90.008715,35.061160098,0,0,0,0,0,0,0
"181",-90.00882,35.061165,0,0,0,0,0,0,0
"182",-90.00896,35.061170098,0,0,0,0,0,0,0
"183",-90.00907,35.061170098,0,0,0,0,0,0,0
"184",-90.009215,35.061175,0,0,0,0,0,0,0
"185",-90.009395,35.061180098,0,0,0,0,0,0,0
"186",-90.009505,35.061185,0,0,0,0,0,0,0
"187",-90.009655,35.061190098,0,0,0,0,0,0,0
"188",-90.00988,35.061195,0,0,0,0,0,0,0
"189",-90.01003,35.061200098,0,0,0,0,0,0,0
"190",-90.010185,35.061205,0,0,0,0,0,0,0
"191",-90.010335,35.061210098,0,0,0,0,0,0,0
"192",-90.01049,35.061215,0,0,0,0,0,0,0
"193",-90.010685,35.061220098,0,0,0,0,0,0,0
"194",-90.01084,35.061220098,0,0,0,0,0,0,0
"195",-90.01096,35.061225,0,0,0,0,0,0,0
"196",-90.01112,35.061230098,0,0,0,0,0,0,0
"197",-90.01132,35.061235,0,0,0,0,0,0,0
"198",-90.01144,35.061240098,0,0,0,0,0,0,0
"199",-90.011595,35.061240098,0,0,0,0,0,0,0
"200",-90.011785,35.061245,0,0,0,0,0,0,0
"201",-90.01194,35.061250098,0,0,0,0,0,0,0
"202",-90.0121,35.061255,0,0,0,0,0,0,0
"203",-90.01226,35.061260098,0,0,0,0,0,0,0
"204",-90.012375,35.061260098,0,0,0,0,0,0,0
"205",-90.01253,35.061265,0,0,0,0,0,0,0
"206",-90.012725,35.061270098,0,0,0,0,0,0,0
"207",-90.01284,35.061275,0,0,0,0,0,0,0
"208",-90.012955,35.061280098,0,0,0,0,0,0,0
"209",-90.01311,35.061285,0,0,0,0,0,0,0
"210",-90.0133,35.061290098,0,0,0,0,0,0,0
"211",-90.013485,35.061295,0,0,0,0,0,0,0
"212",-90.01364,35.061300098,0,0,0,0,0,0,0
"213",-90.013875,35.06131,0,0,0,0,0,0,0
"214",-90.01411,35.061320098,0,0,0,0,0,0,0
"215",-90.014265,35.061325,0,0,0,0,0,0,9.305
"216",-90.014425,35.061330098,0,0,0,0,0,0,0
"217",-90.014595,35.061335,0,0,0,0,0,0,0
"218",-90.01472,35.061340098,0,0,0,0,0,0,0
"219",-90.01489,35.061345,0,0,0,0,0,0,0
"220",-90.015105,35.061355,0,0,0,0,0,0,0
"221",-90.015275,35.061360098,0,0,0,0,0,0,0
"222",-90.01544,35.061365,0,0,0,0,0,0,0
"223",-90.015605,35.061370098,0,0,0,0,0,0,0
"224",-90.01577,35.061375,0,0,0,0,0,0,0
"225",-90.01593,35.061380098,0,0,0,0,0,0,0
"226",-90.016085,35.061380098,0,0,0,0,0,0,0
"227",-90.01623,35.061385,0,0,0,0,0,0,0
"228",-90.016365,35.061390098,0,0,0,0,0,0,0
"229",-90.01652,35.061395,0,4.715,0,0,0,0,0
"230",-90.01664,35.061400098,0,4.715,0,0,0,0,0
"231",-90.01672,35.061400098,0,4.715,0,0,0,0,0
"232",-90.016815,35.061400098,0,0,0,0,0,0,0
"233",-90.0169,35.061405,0,0,0,0,0,0,0
"234",-90.01698,35.061410098,0,0,0,0,0,0,0
"235",-90.017065,35.061410098,0,0,0,0,0,0,0
"236",-90.017125,35.061410098,0,0,0,0,0,0,0
"237",-90.01716,35.061410098,0,0,0,0,0,0,0
"238",-90.0172,35.061410098,0,0,0,0,0,0,0
"239",-90.017235,35.061410098,0,0,0,0,0,0,0
"240",-90.017265,35.061415,0,0,0,0,0,0,0
"241",-90.017295,35.061420098,0,0,0,0,7.534,0,0
"242",-90.01734,35.061420098,0,0,0,0,7.534,0,0
"243",-90.0174,35.061420098,0,0,0,0,0,0,0
"244",-90.017465,35.061420098,0,0,0,0,0,0,0
"245",-90.017545,35.061420098,0,0,0,0,0,0,0
"246",-90.01764,35.061420098,10.926,0,0,0,0,0,0
"247",-90.01775,35.061425,0,0,0,0,1.3586,0,0
"248",-90.017875,35.061430098,0,0,0,0,1.3586,0,0
"249",-90.018005,35.061435,0,0,0,0,1.3586,0,0
"250",-90.018105,35.061440098,0,0,0,0,1.3586,0,0
"251",-90.018245,35.061445,0,0,0,0,1.3586,0,0
"252",-90.018425,35.061450098,0,0,0,0,0,0,0
"253",-90.01858,35.061455,0,0,0,0,2.323,0,0
"254",-90.01874,35.061465,0,0,0,0,2.323,0,0
"255",-90.018985,35.061475,0,0,0,0,0,0,0
"256",-90.019235,35.061485,0,0,0,0,0,0,0
"257",-90.019425,35.061495,0,0,0,0,0,0,0
"258",-90.020295,35.061555,0,0,0,0,0,0,0
