x,y,BEN,CH4,H2S,TOL,VOC,XYM,XYP,id
-90.10229,35.100355,0.02,1.926,2.428,-16.103,-1.35,11.756,22.172,199
-90.10225,35.10038,0.917,1.926,0.325,-16.609,-1.283,0.63,20.003,200
-90.10221,35.100405,-1.879,1.976,0.325,-15.552,-2.08,9.604,20.814,201
-90.10217,35.10043,-1.993,1.976,10.631,-13.869,-2.124,-0.781,21.335,202
-90.102135,35.10045,0.625,1.99,10.631,-12.799,-1.549,1.865,20.573,203
-90.1021,35.10047,-0.232,1.99,10.23,-11.285,-2.611,-5.075,19.468,204
-90.102055,35.100495,-0.444,1.99,10.23,-10.736,-2.014,-5.247,20.717,205
-90.10202,35.100515,-1.369,1.967,2.477,-10.334,-2.545,-1.799,20.591,206
-90.10199,35.100535,-1.529,1.988,2.477,-11.527,-2.677,-4.401,19.652,207
-90.10195,35.10056,-2.58,1.988,4.698,-10.876,-2.611,2.699,19.58,208
-90.101925,35.100575,-2.519,1.987,4.698,-10.105,-2.5,7.618,19.053,209
-90.101895,35.100595,-0.344,1.987,0.207,-10.287,-2.39,5.93,17.759,210
-90.10186,35.100615,0.402,1.988,3.988,-9.025,-0.775,15.274,19.495,211
-90.10183,35.100635,-0.164,1.988,3.988,-13.181,-0.509,17.778,21.152,212
-90.101805,35.100650098,0.626,1.955,3.988,-13.289,0.686,25.035,22.476,213
-90.10178,35.100665,0.626,1.955,0.313,-14.596,0.664,23.449,22.476,214
-90.101745,35.100695,2.624,1.973,0.313,-15.443,0.929,31.935,22.531,215
-90.10171,35.10072,4.851,1.973,-2.942,-16.822,0.088,42.709,21.58,216
-90.101685,35.100735,4.127,2.012,8.292,-14.982,1.814,33.607,22.994,217
